               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091875,            0.027316,            0.052203,              0.7591,             0.20758,             0.18997,             0.10222,            0.059816,            0.017688,            0.034668,             0.07019,           0.0033122,           0.0033122
                   1,            0.062282,            0.022889,            0.028801,             0.84394,             0.21937,             0.22365,            0.084889,            0.056066,            0.013976,            0.022122,            0.040124,           0.0065798,           0.0065798
                   2,            0.060752,            0.018825,            0.020593,             0.62426,             0.41244,             0.35454,              0.1564,            0.056568,            0.011582,            0.016239,           0.0099923,           0.0097813,           0.0097813
                   3,            0.055776,            0.016739,            0.016419,             0.55192,             0.59302,             0.51752,             0.26773,            0.041273,           0.0098958,              0.0126,            0.009703,            0.009703,            0.009703
                   4,             0.04937,            0.014742,            0.013226,             0.71078,             0.53739,             0.58671,               0.324,            0.040367,            0.008213,            0.010409,            0.009703,            0.009703,            0.009703
                   5,            0.046709,            0.013487,            0.012832,             0.74544,             0.57333,             0.62205,             0.36067,            0.037731,           0.0080106,            0.011019,            0.009604,            0.009604,            0.009604
                   6,            0.042197,            0.013245,            0.012254,             0.74258,             0.59828,             0.63195,             0.35115,            0.037961,            0.007362,            0.010597,            0.009505,            0.009505,            0.009505
                   7,            0.040976,            0.013048,            0.011059,             0.74965,             0.69954,             0.70652,             0.43226,            0.032356,           0.0071079,            0.010377,            0.009406,            0.009406,            0.009406
                   8,              0.0385,            0.012436,             0.01055,             0.80851,             0.66321,              0.7112,             0.44806,            0.033543,           0.0068458,           0.0087318,            0.009307,            0.009307,            0.009307
                   9,            0.036891,            0.012438,           0.0095348,             0.86764,             0.68351,             0.76252,              0.5054,            0.032159,           0.0065527,           0.0091826,            0.009208,            0.009208,            0.009208
                  10,            0.035846,            0.012496,           0.0090694,             0.81415,             0.72639,             0.75735,             0.50116,            0.031091,           0.0067533,           0.0081432,            0.009109,            0.009109,            0.009109
                  11,            0.034935,            0.011532,           0.0089939,             0.81812,             0.74993,             0.77512,             0.49156,            0.029846,           0.0067921,           0.0075179,             0.00901,             0.00901,             0.00901
                  12,            0.034864,            0.012102,           0.0083116,             0.86227,             0.72506,             0.77716,             0.53259,            0.029298,           0.0064061,             0.00802,            0.008911,            0.008911,            0.008911
                  13,            0.034267,            0.012157,           0.0080154,             0.85618,             0.72463,             0.77779,             0.53534,            0.027486,           0.0063211,           0.0082809,            0.008812,            0.008812,            0.008812
                  14,            0.032872,            0.011655,           0.0075504,             0.84633,             0.70668,             0.75738,             0.49607,            0.029098,           0.0064951,           0.0082023,            0.008713,            0.008713,            0.008713
                  15,              0.0322,            0.011577,           0.0070349,             0.84031,             0.69912,             0.75519,             0.52555,            0.026454,           0.0064835,           0.0088218,            0.008614,            0.008614,            0.008614
                  16,            0.031969,            0.011426,           0.0070689,             0.90197,              0.7234,             0.77991,             0.51027,            0.028062,           0.0062789,           0.0063708,            0.008515,            0.008515,            0.008515
                  17,            0.031725,            0.011422,           0.0065983,              0.8368,             0.75253,             0.77589,              0.5242,            0.026182,           0.0062912,           0.0062835,            0.008416,            0.008416,            0.008416
                  18,            0.030838,            0.011256,           0.0056645,             0.84143,             0.73991,             0.84945,              0.6032,            0.027354,           0.0061054,           0.0071833,            0.008317,            0.008317,            0.008317
                  19,            0.030437,            0.011309,           0.0057254,             0.84788,             0.75921,              0.8549,             0.59552,            0.026461,           0.0062482,           0.0052971,            0.008218,            0.008218,            0.008218
                  20,            0.030268,            0.011009,           0.0061902,             0.88794,             0.73363,             0.81424,             0.56345,            0.025005,           0.0061606,           0.0059733,            0.008119,            0.008119,            0.008119
                  21,             0.02889,            0.011083,           0.0058008,             0.89172,             0.72226,             0.80508,             0.57735,            0.027841,           0.0064275,           0.0089919,             0.00802,             0.00802,             0.00802
                  22,            0.029283,            0.010532,           0.0059457,              0.9227,              0.6983,             0.80467,             0.54795,            0.026363,           0.0060481,           0.0066465,            0.007921,            0.007921,            0.007921
                  23,            0.028493,            0.011118,           0.0057253,             0.88754,             0.72837,             0.83762,             0.58567,            0.025088,           0.0060603,           0.0062832,            0.007822,            0.007822,            0.007822
                  24,            0.028077,             0.01074,           0.0051086,              0.8541,              0.7701,             0.90515,             0.67131,            0.025863,            0.006036,           0.0064159,            0.007723,            0.007723,            0.007723
                  25,            0.028514,              0.0106,           0.0053792,             0.89319,             0.71434,             0.84908,             0.63653,            0.026859,           0.0058596,           0.0056705,            0.007624,            0.007624,            0.007624
                  26,            0.028208,            0.010471,           0.0054827,             0.90972,             0.71012,             0.88686,             0.63045,            0.025124,           0.0061602,           0.0054309,            0.007525,            0.007525,            0.007525
                  27,              0.0277,            0.010736,           0.0051627,             0.89839,             0.76229,             0.91503,             0.67834,            0.023724,           0.0058884,           0.0052694,            0.007426,            0.007426,            0.007426
                  28,            0.027562,            0.010332,           0.0055178,             0.69805,              0.9107,             0.89258,             0.63083,            0.025078,           0.0059785,           0.0051193,            0.007327,            0.007327,            0.007327
